species,UAV-flight-time,crown.reference,level-of-analysis,thermal.mean.Celcius,thermal.sd,tdiff.mean,tdiff.sd
METPOL,902,2,leaf,16.93080521,0.363214821,-2.161396027,0.363214821
METPOL,1018,2,leaf,17.98412323,1.349173784,0.386422038,1.349173784
METPOL,1048,2,leaf,19.90839958,1.115308762,1.349500775,1.115308762
METPOL,1301,2,leaf,21.00821495,0.791201651,2.287414551,0.791201651
METPOL,1456,2,leaf,17.54956818,0.485849202,-0.57993263,0.485849202
METPOL,902,3,leaf,17.12797928,0.399906307,-1.964222312,0.399906307
METPOL,1018,3,leaf,18.27016258,1.071671128,0.672462106,1.071671128
METPOL,1048,3,leaf,18.72476387,0.717389822,0.16586417,0.717389822
METPOL,1301,3,leaf,20.34670067,0.737837434,1.625901222,0.737837434
METPOL,1456,3,leaf,17.79071808,0.380664736,-0.338782787,0.380664736
METPOL,902,4,leaf,17.32393265,0.392991394,-1.768267989,0.392991394
METPOL,1018,4,leaf,17.33824921,0.463875443,-0.259451628,0.463875443
METPOL,1048,4,leaf,19.03907013,0.980425358,0.480170012,0.980425358
METPOL,1301,4,leaf,19.64196205,0.490375876,0.921162963,0.490375876
METPOL,1456,4,leaf,17.00515556,0.558718383,-1.124343038,0.558718383
CHETRI,902,5,leaf,17.10137177,0.374386907,-1.990826726,0.374386907
CHETRI,1018,5,leaf,18.22918129,0.869340599,0.631480396,0.869340599
CHETRI,1048,5,leaf,18.35890579,0.769450426,-0.199994534,0.769450426
CHETRI,1301,5,leaf,21.43568039,0.593995273,2.714879751,0.593995273
CHETRI,1456,5,leaf,17.14145851,0.455100119,-0.988042295,0.455100119
METPOL,902,7,leaf,17.66474915,0.250087589,-1.427450776,0.250087589
METPOL,1018,7,leaf,17.99036598,0.649662733,0.39266488,0.649662733
METPOL,1048,7,leaf,18.6001606,0.857911289,0.041261423,0.857911289
METPOL,1301,7,leaf,19.93470192,0.687217355,1.213901877,0.687217355
METPOL,1456,7,leaf,17.20753098,0.37867251,-0.921968102,0.37867251
METPOL,902,8,leaf,17.39484406,0.308170527,-1.697357059,0.308170527
METPOL,1018,8,leaf,18.03114891,0.857310712,0.43344897,0.857310712
METPOL,1048,8,leaf,19.07782745,0.877748966,0.518927038,0.877748966
METPOL,1301,8,leaf,20.35738373,0.584417999,1.636584401,0.584417999
METPOL,1456,8,leaf,17.34181213,0.498644412,-0.787687361,0.498644412
METPOL,902,10,leaf,17.2741127,0.354282618,-1.818087578,0.354282618
METPOL,1018,10,leaf,17.52945518,0.555904865,-0.068246476,0.555904865
METPOL,1048,10,leaf,18.35533714,0.682013929,-0.20356299,0.682013929
METPOL,1301,10,leaf,19.74490738,0.760926366,1.024108052,0.760926366
METPOL,1456,10,leaf,17.99671745,0.696495712,-0.132783845,0.696495712
METPOL,902,12,leaf,18.72058296,0.702437818,-0.371617943,0.702437818
METPOL,1018,12,leaf,19.36284256,1.001506209,1.76514256,1.001506209
METPOL,1048,12,leaf,20.15188026,0.948688507,1.592981696,0.948688507
METPOL,1301,12,leaf,20.5610981,0.905390263,1.840297222,0.905390263
METPOL,1456,12,leaf,18.66374016,0.712213278,0.534238994,0.712213278
METPOL,902,13,leaf,18.19426727,0.487625927,-0.897932649,0.487625927
METPOL,1018,13,leaf,18.38043404,0.92568326,0.782734931,0.92568326
