crown.reference,species,Z_mean_height_m,rumple_index,leaf_clumping,mean_density_voxels
2,METPOL,21.59382057,4.278995947,3.48811897,3.822014052
3,METPOL,18.32272911,2.947207078,2.782777278,5.02189781
4,METPOL,23.892416,3.71883383,1.744494545,4.603907638
5,CHETRI,18.43390656,3.196981503,2.501372706,4.423529412
7,METPOL,26.47770119,4.079996318,2.595550903,4.126696833
8,METPOL,25.92541504,4.102405861,2.130224579,4.244897959
10,METPOL,19.98874092,5.067165579,4.057142874,3.642072214
12,METPOL,17.66459084,3.103052139,2.041871176,4.531791908
13,METPOL,17.33871078,3.048985576,1.992470167,4.333333333
14,METPOL,17.33034515,3.544745726,2.485780688,4.292682927
15,CHETRI,15.08066559,4.525658011,2.836767718,3.348837209
16,CHETRI,16.11366653,2.332686266,1.674064591,5.492537313
17,METPOL,16.45174408,3.354248453,1.724878605,3.764705882
18,METPOL,18.2463913,3.613565175,2.088894751,4.401294498
19,METPOL,17.24123955,3.828472325,2.98418299,4.052141527
20,METPOL,24.48901176,4.425178928,2.879941567,4.052532833
21,METPOL,25.05854225,2.983124701,1.965933038,4.816326531
22,ACAKOA,19.89912033,4.595698086,3.121451138,3.416666667
23,METPOL,21.50004578,3.03230024,1.937867519,3.862068966
24,METPOL,24.20148468,4.419331334,2.245207651,3.82300885
25,METPOL,21.46242142,3.553660217,2.130523768,4.496350365
28,METPOL,22.36138344,3.428310167,1.760700322,4.168067227
29,METPOL,23.57713509,6.896880487,3.661818705,3.006060606
30,METPOL,24.09191322,4.556871807,2.630106686,3.952693824
31,ACAKOA,22.61733627,8.560418146,4.57907944,2.415954416
32,METPOL,17.18605042,6.989792476,4.090266347,2.727272727
33,METPOL,21.89710045,3.492808421,2.280843542,4.545961003
34,METPOL,20.6240139,2.803942314,1.927541409,5.090909091
35,CHETRI,18.76207542,3.529081689,1.690772986,4.363636364
36,ACAKOA,19.46325684,4.768351066,2.329807513,3.688622754
37,METPOL,10.40602493,2.891961023,1.367528518,3.555555556
